Core Data,Related
M/s.Nishat Textile (Chunian),
Ali & Sameer International,
Khalifa weaving,
Hamza Knitwear (M/s.Shaheen Industries M/s.Ehbab Engg),
Sajadia Tin Master (M/s.Grinding Mills),
Silver Painter,
Shiraz & Co (M/s.Mughal Metal Craft),
Master Abid Weaving,
Synchro Pharmaceutical,
Sun Shine Steel (M/s.N & F Inti. Leather),
Lucky Label Industry (M/s.Style Impex),
Amin Enterprise (M/s.Sir Knitwear),
Spiral  (M/s.Iris Garments),
Standard Tech,
SHZ Textile ,
Sir Engg Enterprises,
M/s.Prince Fabrics (Pvt) Ltd,
Precision Porudct Engg (P.P.E),
Precision System (M/s.Hilside Metal),
Thama Packages,
Tex Pak Ltd,
Green Plastic Industry,
Tiger Auto Inds.,
Treet Corporation ,
Two Star Engg,
M/s.Top Fit Shoes,
Techman Engg,
M/s.Siemen Pak Ltd,
Carevel Steel Works (M/s.Technic Engg),
M/s.Deplix (Pvt) Ltd,
M/s.Prince Libass Tailors,
Well Pack Printing (M/s.Tippu Enterprises),
M/s.Park View Service  Station (PSO),
Tayyab Food Product,
M/s.M.C.R (Pizza Hut),
Tex Tec (M/s.The Backers),
M/s.Pak Aim/ Pak American,
Tariq Autos (Pvt) Ltd,
M/s.Professional Builders,
M/s.Faisal Zahoor,
 Toys Craft,
M/s.Punjab Group of College,
M/s.Phonix Food (Pvt) Ltd,
M/s.Perfect Range,
M/s.Premier Bus Trading,
M/s.Perfect Computer,
M/s.Prima Computer,
M/s.Qasr-e-Noor B/Hall,
Unique Engg Works,
M/s.Gourmet Catering ,
M/s.Mega Tower,
M/s.Rooma Computer,
M/s.Rubber King Moulders,
M/s.Riaz Bottlers,
United Industrial  ,
M/s.Raja Adalat Khan,
M/s.Razziq International,
United Dairy Form,
U.B Industry,
M/s.Raheem Group,
Uni Tech Electronic,
M/s.Al-Noor Mall,
M/s.Saeed Bukhsh,
M/s.Sunny Floor Mills,
Uni Textile International,
M/s.Sun Rising Bottling,
Vision Engg (Pvt) Ltd,
M/s.Service Sales Corp.,
Wilshare Labs,
Western Style Knitwear (M/s.SHZ Textile),
M/s.Service Industry,
World Press (Pvt) Ltd,
Syed Saleem (M/s.Wings Chairs Inds.),
M/s.Service Sale Shop,
M/s.Shafique Industry,
Yummy Milk Product,
S.C Johnson (M/s.Tariq Sons),
Zeb Tex,
Zain Knitwear (Pvt) Ltd,
Zainib Enterprises,
Hafiz Engg,
M/s.Saleem Fabrics,
M/s.S.M Yousaf & Sons,
M/s.Saeed Ullah Khan,
Asif Hussain Weaving,
Amina Chemical,
M/s.Nawaz Sons (M/s.Shahbaz Brothers),
M/s.Food Consultant (M/s.Salt-N-Paper),
Attara Tarpuline,
M/s.Sigma Distributors,
Amana Textile,
M/s.Sir Syed Cambridge School,
Ayesha Knitwear,
M/s.Mateen Enterprises (Snow White Dry Cleaner),
Ayesha Fabrics,
Anam Weaving,
M/s.St.Marry High School,
Al-Nasar (Pvc) Works,
M/s.Saleem Sons World,
Asta Textile (Pvt) Ltd,
"M/s.Sh. Inyat Ullah Co.,",
Akka Paper Product,
M/s.Sach International,
Al-Watan Enterprises,
M/s.Subhan Ullah Foods,
Al-Sheikh Packages,
M/s.Sichuan Chinese,
Advantage Leather,
M/s.Steel Decorate,
Al-Macca Press,
`,
A.R.C Knitwear,
M/s.Sanam Boutique,
M/s.Shazia Siddique Trade,
M/s.Shadman Textile,
Al-Sadiq Victory,
M/s.Shaps (Pvt) Ltd,
M/s.Fantasies Health,
M/s.Singapur Tailors,
M/s.Shezan Hotel & Rest.,
Alphine International,
Abid Weaving,
Ambition Appparels,
Active Apparels,
M/s.Security Nine One one ,
M/s.Azeem Knitting,
M/s.S.P.S.I (Smart Power Solution),
Amex International,
A & R Company,
M/s.Sarhad Restaurant,
Accu Print Printing ,
M/s.Cafe Express (COTHM College),
Al-Qamar Knitwear,
M/s.Cina World (Pvt) Ltd,
A.M Fabrics (Pvt) Ltd,
App. Tex Factory,
M/s.Dezno Garments,
M/s.Al-Ashar Knitwear,
Agro Craft,
M/s.Salman Textile ,
M/s.Jehanzeb Fabrics9-23-1193,
Akmal Enterprises,
M/s.The Toy Shop,
Asmar Textile-I,
M/s.Taha Engineering,
Asmar Textile-II,
Alpha Enterprises,
M/s.The Shoppe,
M/s.B.M Homeopathic,
Bara Dawakhana ,
M/s.Sparke Enterprises,
M/s.B.M Fabrics Glass,
M/s.Star Tech Inaternational,
Bright Engine Valve,
Baqar Yarn Washing,
Buraq Knits,
Beau Monde Garments,
B.T.S Plastic,
M/s.Sun Shine Carpet,
M/s.Tayyab & Co,
Basfa,
M/s.Soft View,
M/s.Stitcher Men,
M/s.Super Tech Computer,
M/s.S.N Security ,
M/s.Shifa Labroatory,
M/s.Sliner Fork Café,
M/s.Shell Maher Gas St,
M/s.Shahzad Textile,
M/s.Residency Hotel,
M/s.Tai Wah chinese,
M/s.Tee Tailoring,
M/s.Tandlaian Wala Sugar Mills,
M/s.The City School,
M/s.Time & Taste,
M/s.Talons Security Service,
M/s.Target Security,
M/s.Total Parco ,
M/s.TUFE Tiles,
M/s.T & S Corporation ,
M/s.Service Sale Corp.,
M/s.Tariq Zia & Co,
M/s.Unique Food Co,
M/s.United Mobiles,
`,
M/s.Unity High School,
M/s.Universal Fright,
M/s.U-Fone ,
M/s.Uni-formers,
M/s.Uni-Ron,
M/s.Unicron Cmputer,
M/s.United Filling Station ,
M/s.Varity Books,
M/s.Golden Fort Restaurant,
M/s.Watex (Pvt) Ltd,
M/s.Walk-In Tailors,
M/s.Wak Gas Co,
M/s.Wazir Fabrics,
M/s.Wings Computer,
M/s.Wind Mill Restaurant,
M/s.World Tele Call,
M/s.Wali & Ali Enterprises,
M/s.Yennisaries Security,
M/s.Yasin Tailors Shop,
M/s.Universe Security,
M/s.Zafar Sons,
M/s.Zor Engg (Pvt) Ltd,
M/s.Zafar Catering,
M/s. Oliver Restaurant,
M/s.Combined Fabrics,
M/s.Zohra Garments,
M/s.Zee Khan Associate,
M/s.Suiteran Network,
M/s.Side for Trycon,
M/s.Danish Cleaner,
M/s.City Food Court,
M/s.Qadri Glass Industry,
M/s.Noor Shadi Hall,
M/s.Gun Smoke Dyiners,
M/s.Shalimar Construction ,
M/s.Safe Guard Security,
M/s.Jeff Heights,
M/s.Ventge Printer,
M/s.Mobi Serve Pakistan,
M/s.Kaps Flora Design,
M/s. Café Afia,
M/s.Lahore Pride Security,
M/s.Q.B Food (Café Ayluco),
M/s.Lemon Grass Cuisine,
M/s.Solution Cargo Intil,
M/s.Call Guard Security,
M/s.Shoe Plant,
M/s.Servaid Pharmacy,
Contact Fiber Glass,
M/s.Old King Queen Pizza,
M/s.Classic Needs Pak,
M/s.FED Globe (Pvt) Ltd,
M/s.Easter Lodge Guest,
M/s.Classic Security Service,
M/s.Memories Restaurant,
M/s.Premier Agency,
Ch.Steel Industry,
M/s.Royal Palace,
M/s.Shahid Brothers,
M/s.Soleur Enterprises,
M/s.Al-Hfiz Shopping Mall,
M/s.Abdullah Heights,
Cresent (Pvt) Ltd,
M/s.Mustang Security,
M/s.One Patato Two Patato,
M/s.Bin Qutab Cargo,
"Cendralla (Pvt) Ltd	18-KM, Ferozepur Road",
M/s.Imax Theater & Shopping Mall,
M/s.Pace Pakistan Ltd,
M/s.Vouge Towers,
"Cotton Web (Pvt) Ltd	9-23-924",
M/s.Park Plaza Hotel  (Cheema Hotel),
M/s.Marr Cage Hall,
M/s.Associate Consulting  Engg (A.C.E),
M/s.Ashiana Shopping Mall,
M/s.Macca Tower,
M/s.Liberty Shopping Mall,
M/s.Descon Engg/ Khalid  Engg,
M/s.Delta Garments,
M/s.Wind Mill Hotel,
Danish Apparels,
D.E Technique,
M/s.Meena Bazar,
M/s.Zarmeen Shopping Mall ,
M/s.Zarmeen Shopping Mall ,
Dilwar Textile,
M/s.Paradise Restaurant,
M/s.Qadri Glass Industry,
M/s.Living Daries (Pvt) Ltd,
M/s.Decent Enterprises,
M/s.Golden Restaurant,
M/s.Muhammadi Nihari,
Dynamic Pacakers,
M/s.Mobile Zone,
M/s.T.F.T(Pvt) Ltd,
M/s.W.P.P.Marketing,
M/s.Skills Embroidery,
Design Knitwear,
Ejaz Knitwear (Pvt) Ltd,
M/s.Concrete Concept ,
Endeavour (Pvt) Ltd,
M/s.Kababish,
Farhan Enterprises,
M/s.Thal Industry (M/s.Safina Sugar Mills),
Fareed Steel (Pvt) Ltd,
M/s.Fins Ferns N Feather ,
Feroze Flour Mills,
M/s.Anis Book Depott.,
M/s.Nexlix Net,
Fab Man Engg Ltd,
M/s.Faisal Embroidery  (Fantasy),
Ferhaj Footwear,
M/s.Xi Wing Restaurant (M/s.Cafe Mondeldno),
M/s.Oxford University,
Fahad Mohsin Plastic,
M/s.Nweage Cable (Pvt) ,
M/s.Alamgir Tower,
Fybron (Pvt) Ltd,
M/s.I.T.Tower (Urban Dev),
Fazal Qayyum Knitwear,
M/s.Global Pakistan,
M/s.Hotel Gulberg Inn ,
M/s.Paradise Engg,
M/s.Wonton Chinese,
Fame Corporation,
M/s.Coffee Tea & Co,
M/s.Veranda Bistro,
Frontier Packages,
M/s.Cock-N-Bull Restaurant,
Fair Agro Engg,
M/s.Krem-I-Kafe,
M/s.Clifeon Shoes,
M/s.Style King Tailors,
Flex Enterprises,
Prime Carton (General Packages),
M/s.Brago Fabrics,
M/s.John Tailors,
Chaplet International,
Generaation (Pvt) Ltd,
Golden Industry,
Glaxo Smith Kline,
M/s.Ahmad Fabrics,
Global Design,
M/s.New Hollywood Tailors,
M/s.Noor Banquet Hall,
M/s.Hotel Paris International,
Haji Manzoor & Nazir,
Shafi Life Style Hafeez Shafi Tannery,
Habile Business,
M/s.Subway Millenium,
M/s.Liberty CNG F/Station (PSJ Liberty CNG),
M/s.Amir & Company,
M/s.Reet Rawaj B/Hall,
M/s.Liberty Castle B/Hall,
M/s.Himount Pharma,
M/s.Sohnee Beauty Parlor,
M/s.High Tech Agencies,
M/s.Ghani Party Decorater,
H.N.C Factory,
M/s.Atlantis Leather,
Hassan Faisal Ind.,
M/s.Fazal-e-Haq Restaurant,
Haqeeq Marble,
Hussain Sons,
M/s.New Look Beauty,
Hunner Furniture,
M/s.Modern Beauty Hair,
Ideal Pharma,
M/s.Munir Hair Dresser,
Indus Valley Construction,
M/s.John Hair Saloon,
M/s.Charli Hair Saloon,
M/s.Biryani Express,
Inter Can,
M/s.Deans Shahi Darbar,
Inter Steel,
M/s.Rashid Dresser,
Indesign (Pvt) Ltd,
M/s.Nadra Beauty Parlor,
M/s.Berger Boutique,
M/s.Odeon Hair Saloon,
M/s.Hotel Green Fort,
M/s.Dr.Kahlid Clinic,
M/s.Gelato Affairs,
M/s.A One Shoes Intil,
M/s.Guardian Pharmacy,
M/s.Moods Café & Bakers,
M/s.Tabaq Restaurant,
M/s.Subway Restaurant  (Sub Marine),
M/s.United Business Sys,
M/s.Crystal Trading Corp.,
M/s.H.M.S & Co,
M/s.D.E.L (Pvt) Ltd,
M/s.Kaizen Const ,
M/s.Mr. Cade (Café),
M/s.United Engg Const.,
M/s.Inform Fashion ,
M/s.Al-Nakhal Arabian Rest,
M/s.Tia Maria Café,
Influx (Pvt) Ltd,
M/s.Haseeb Waqas Corp.M/s.Haseeb Waqas Corp.,
Ideal Creation ,
M/s.Cafe Chain,
Imperial Machinery,
T.F Enterprises,
Jamal Fabrics,
M/s.Sukh Chain Club  Wellness,
Jell Production Ltd,
J.T.N Garments,
Key Stone Garments,
Khyber Spinning,
M/s.Aqua Safe,
Kam Engg,
M/s.Leopards Domestic,
M/s.World Call,
M/s.Frointer Motors,
M/s.Mustafain Engg,
King Packages,
M/s.Serimad Security,
KPS School,
Kalamkar Furniture,
Kiran Industry,
Knitex,
Khyber Weavers,
K.A Textile,
Kashmir Fabrics,
Long Ford Engg,
Le-Topical ,
M/s.Fatimid Foundation ,
Lahore Embroidery,
M/s.Interface Developers,
M/s.Iqra Garments,
Lotus Knitwear,
M/s.Habib Oil Mills,
M/s.EACMS Company (Ijaz & Company),
Mubarik Textile,
M/s.H.S Printer,
Musterhaft (Pvt) Ltd,
M/s.Bilal Engg,
Manakin Texitle,
M/s.Mother Care,
M/s.Orange Properties,
M. Azam Knitwear,
M/s.Chicken Cottage,
Maknet (Pvt) Ltd,
M/s.Empire CNG F/Station,
Meezan Enterprises,
Mustajab Industry,
M/s.New Karachi Red Reck,
Malik Sana Ullah,
Moazam Din & Co,
M/s.Ghousia Engg,
Metal Forming  Watt-N-Volt,
Mass Phrama,
M/s.Chez-Nur-Restaurant,
M/s.Radio City Home,
Crystal Knitwear,
M.A Mubeen,
M/s.Gerry's Softlogic,
Milli Enterprises,
Maqsood Press,
M/s.S.K.T Stitching,
Mash Fashion,
M/s.Expresso Café,
Mahad Thread,
M/s.Tiramisu Restaurant,
M/s.Gloria Jeans,
M/s.Hotel Marry Inn B/Hall,
M/s.Bold Security Service,
M/s.Wounder Sign,
 Maqbool Enterprises,
M/s.Beyond Border,
 Master Motorcycle ,
M/s.Digital Source (Pvt),
Naseem Carpet,
M/s.Kalaam Communication,
Nishat Mill (Stitching),
Nishat Mill (Dying &  Spinning),
Nazran Enterprises,
National Lace Factory,
M/s.Glass of Diamond,
Naz Packers,
National Oil Mills,
M/s.Indus Engg Works,
Nusrat Traders,
M/s.Forman Chiristan  (F.C College),
Nadir Said Jan,
M/s.Elite Gas Station ,
Comp Services,
M/s.Savoey Hotel,
Nexus Fashion,
N.F.K International,
M/s.S & W Enterprises,
Optima Textile,
Mediterran Foods,
M/s.N.A Associates,
Percision Mates,
M/s.Salaam Book (Pvt),
Pack Well,
Pesticides Pharmaceutical,
M/s.Consutrlet,
Padana Garments,
PDH Laboratory,
M/s.Karachi Red Rock,
Pak Rehman Knitwear,
Salam Enterprises,
Prime Mechnical (Prime Tech),
M/s.Route 2 Health,
Premier Leather,
M/s.Sahib Jee Deptt.,
M/s.Meezban Associates,
Pak Packages,
M/s.Malees Café,
Statco,
Qurban Enterprises,
M/s.Salamat School Sys,
Riaz Tannery,
M/s.Sardar Industries,
Ramay Textile,
M/s.Ain Engg Services,
Ramson Chemical Paint,
Rubber Tech Intil,
M/s.C.S.H Pharmacy,
Ravi Thread Works,
M/s.ALM Outsourcing ,
Rustam Weaving ,
M/s.Haroon Transport ,
M/s.Bilal Associate,
M/s.Beacon House ,
M/s.Bar B Q Night,
M/s.Cafe Noir,
Reena Cane Pharma,
M/s.Down Town Restaurant,
Rehman Knitwear,
M/s.Harwester (Pvt) Ltd,
M/s.Ideas Stores (Gul Ahmad),
Rehman Screening,
M/s.Junaid Jmashaid,
"Asian Cables (Pvt.) Ltd.,",
M/s.Kabab Co,
M/s.Metro Shoes,
M/s.Mumtaz Brothers,
M/s.Play Land ,
M/s.Raja Dept. Store,
M/s.Senso Café & Express,
M/s.Sheikhoo Restaurant,
M/s.Subway (Fat Fren),
M/s.Shahid Const.,
M/s.Sahan Brothers,
M/s.Telenor Pak (Pvt) Ltd,
M/s.MDS Foods (Pvt) Ltd,
M/s.Papa Jee Restaurant,
M/s.Peshwari Namak Mandi,
M/s.Lahore Dera,
M/s.Lahore Dera,
M/s.Power Tel Engg,
M/s.AE Design (Pvt) Ltd,
M/s.Modern Building  Maintenance (MBM),
M/s.Swift Logistic ,
M/s.Ghousai Guards,
M/s.Pakistan Cargo Service,
M/s.Cinergy Corporation,
M/s.Vital Security (Pvt) Ltd,
M/s.Butt Cuisine,
M/s.Comely Shoes,
M/s.Frontier Continental,
M/s.Fresh Meat,
M/s.Liberty Berger,
M/s.Needle Impression,
M/s.Yousaf Faloda Shop,
M/s.Olive Grill,
M/s.Balouchi Sajji  (Bundu Khan),
M/s.Bashir Dar-Ul-Mahi,
M/s.Nihsat Hotel & Property,
Radient Glass (Hassan Enterprises),
M/s.Trafco Tracking (Pvt),
M/s.Pakhtun Khawa Bar B.Q,
M/s.True Dymanic,
M/s.Trafco Logistic (Pvt),
M/s.Mens Store,
M/s.Mother Care,
M/s.Karachi Master Food,
M/s.Karachi Grill Paratha,
M/s.Karachi Golden Bar  B.Q,
Salman Apparels,
M/s.Ahmar Bilal,
Subhan Knitwear (Pvt) ,
M/s.Mainsonette,
Saif Tex/Canter,
M/s.Maximal,
Siza International,
Stahlco Domestic,
M/s.Hair Transplant (ILMT),
Stand Pharma,
M/s.Maria-B,
Saphire Knitwear,
M/s.Silwa/ Rahil Hotel,
Stitch Craft,
M/s.Afzal Studio,
M/s.F-1 Traxx,
Sadiq Vegetable Ghee,
Siddique Son Dyeing,
Stitch-N-Style,
Sarwar Industry,
Styler International,
Sunderalla Fabrics,
Sharmin Knitwear,
Supra Fashion,
Shafi Resocham,
M/s.Global Customer (Nokia Care),
Adil Doubling,
M/s.Cafe Buzz,
M/s.Aajkal Daily Time,
M/s.Hip Hop (A.K Lounge),
M/s.Dawn Group New Paper,
Shami Screen Printing,
Silver Embroidery,
Suprex Engg Work,
S.J (Pvt) Ltd,
Sun Flower,
H.K Pharma,
Speed Wire,
Shafaq Textile,
Sakhawat Enterprises,
Seven Star Co,
Shaheen Packages,
Salamat Oil Mills,
Shah Lace,
Spleen Mfg,
SNS International,
Sultan Rubber Factory,
Tiger Hoisery,
Tariq Flour Mills,
Trafo Panel,
Tapex Weavers,
Texcot International,
U.S Apparels,
Universal Leather F/Wear,
United Sales,
United Wave House,
U.B C Convertec,
Usman Knitwear,
M/s.Subh Noor Communication,
M/s.Golden Fort Restaurant,
M/s.Elan Boutique,
M/s.Al-Hannan Enterprises,
M/s.Euro Power Generation,
M/s.Sublime (Pvt) Ltd,
M/s.Golden Tent Restaurant,
Wahdat Industry,
M/s.Universal Logistic Service,
M/s.Frontier Motors,
M/s.New Mian Hotel,
M/s.Hajvery University,
M/s.Reema Abasan Design,
M/s.Pak Asia Restaurant,
Win Pak International,
M/s.Sphinx Lounge,
Wonder Loaf,
M/s.Triumphant Restaurant  (YUM Chinese Restaurant),
Well Knit Textile,
M/s.Time Security,
Wali Luminates,
X Press Packages,
M/s.Blue Basil Restaurant ,
Zaco Tex (Pvt) Ltd,
M/s.Bilal Restaurant ,
Zainal Textile,
M/s.Wi Tribe ,
Zaheer Ahadm Shoe,
M/s.786-Tikka Shop,
M/s.Lily Beauty Saloon,
Al-Hajvery Textile,
M/s.Madeehs (Bridal Saloon),
M.Tech,
M/s.Fashion Design,
Wahid Industry,
M/s.Hayaz Beauty Saloon,
M/s.Maya Fex Max Grill,
M/s.Ciro's Pomoora Rest.,
M/s.Nishat Hospitality,
Neha Textile,
M/s.BE Beautiful Deing Skin,
Mian Textile,
M/s.Lahore Grammar School,
M.A Polymar,
Hall Mark Apparels,
M/s.Lahore Grammar School,
Mid Land Food,
Ali Murtaza Associates,
Reminders,
M/s.Lahore Grammar School,
Bimsha International,
M/s.Lahore Grammar School,
Nishat Apparel (Pvt) Ltd,
M/s.Lahore Grammar School,
M/s.Lahore Grammar School,
Packaging Solution ,
M/s.Lahore Grammar School,
M/s.Lahore Grammar School,
Knots International,
M/s.Lahore Grammar School,
H.S Food (Pvt) Ltd,
M/s.Lahore Grammar School,
Medistar ,
M/s.Lahore Grammar School,
Dot Care,
M/s.Opium (Thai),
M/s.Jahangir Sons,
Alco Alumunium ,
M/s.Cresent Baho Jan,
Fellow Enterprises,
M/s.Mec Hano (Pvt) Ltd,
Warson,
M/s.Shalimar Tower Hotel,
M/s.Universtiy of Central Punjab,
Indigo Fashion Centre,
M/s.National Communication  Services,
M/s.National Educational  Netwrok (Pvt) Ltd,
SSARs Packaging,
M/s.Eden Housing ,
M.K Supreme,
M/s.Eden DE (Pvt),
Al-Rashid Trading,
K.M Knitwear ,
M/s.Eden Bo Valve Home ,
Akhtar Azeem Garments,
M/s.Chawkal Group,
M/s.Eden Builder,
M/s.Vanguard Book,
M/s.Siddique Furniture,
M/s.Marush,
M/s.New Style Furniture,
M/s.MRS Fields Café,
M/s.Think Pink (Bridal Fashion Studio),
M/s.Twister's Chicken,
Ayub Bans Store,
M/s.Qaswa Restaurant,
Abad Canvas,
M/s.Cafe Rock,
Fajar Shadi Hall,
Ashraf Packging,
M/s.Isis The Beauty Lounge,
Abdul Hafeez Proline,
M/s.Heaven Furniture ,
Badar Ahmad Bricks,
M/s.Cafe De Viola,
Babu Sharif Bricks,
M/s.Cotton Cinng,
M/s.Abrar-ul-Haq Couture,
M/s.Pretty Women,
M/s.Pretty Women ,
M/s.Fashion Network,
M/s.Abid Group ,
M/s.Enviroment Service Sys,
M/s.M.C.R (Pizza Hut),
M/s.The Hot Spot Café,
Best Buffalo Leather,
M/s.The Art Café,
M/s.Universal High School,
Contact Ltd,
M/s.Imran Khan Foundation ,
Contrest (Pvt) Ltd,
M/s.Deplix,
Cannon Industry,
M/s.Educational Excellence,
Cirus Pharma,
Creaters (Pvt) Ltd,
M/s.Madni Motors,
Cresent Enterprises,
M/s.Naeem Associate  (Salt-N-Paper),
Chinna Textile,
M/s.Nilofer Coutoure  (Meeras Boutique),
China Engineering,
Spectrum Communication ,
Challenge Enterprises,
Surgimid Hospital,
Dernier GRI Rashid Industry,
Ahmad Medical Complex,
Dura Foam,
Raja Sahab,
Englihs Knitwear,
Akram Medical Complex,
Ehbab Leather Garments,
Professional Academy ,
 Perfect Electronic,
The Texture,
One Source Maintenance,
Jamal Textile,
Executive Service C/o Telenor,
Haji Atta Muhammad   Bricks,
Toti Fruiti,
Haq Nawaz Bricks,
Hameed Bricks,
Nishat Mills Ltd,
Haroon Apparels,
Hybread Paks Ltd,
 Iqas Weaving,
Iqra Embroidery,
Kohinoor Spinning Mill  (Chakwal Group),
IRA Imaging Design ,
 Hamza Enterprises,
J.T.M Finshing,
Chakwal Spinning Mill  (Chakwal Group),
Jurab (Pvt) Ltd,
Chakwal Textile Mill  (Chakwal Group),
 Khama Textile,
Yousaf Weaving  (Chakwal Group),
 Karachi Wire Knitting,
M/s. Khan Doubling,
Jamal Contactor MCR,
 Kress Fabrics,
A.Q Manpower C/o MCR,
Lords Knitwear,
Sefam (Pvt) Ltd,
Nova Quest International School,
Latif Paper,
Lahore Power Generation,
Wise College,
M. Shafi Bricks,
"Zaftol Security Co.,",
Mehboob Ahmad Bricks,
Modern Comprised Auto,
Munir Glass,
Chugtai Lahore Lab,
N.I Auto Scan,
De-Latte Lounge,
New Science School System,
Sigma School System,
Punjab Medical Centre (PMC),
Mall-1,
 M. Ibrahim Fabrisc,
Suntech Car Company,
Café Costa,
PFDC the Boulevard,
Fabrizio (703),
Beautex Bride and Beauty,
Mian Tentage,
M.S Betling,
Mashal Fabric,
Nawab Bricks,
 Nesler Office Supply,
Nenser Appliance,
M/s.Lahore Sanaitation Pregormme (Waste Buster),
 Nippon Container,
M/s.Kataria Associates,
Naqi Food Industry,
M/s.Abbasee Interior,
 Nadeem Engg,
 Victoria Clock House,
M/s.Khabe Restaurant,
Paramount Enterprises,
M/s.Azam Garrision School,
Pak Duk Textile,
M/s.Ahmad Corporation ,
Puma Leather,
 Texture Textile,
M/s.Auto Bake Food (G.B.Traders),
General Cosmestic,
M/s.Amir Garments,
Riaz Ahmad Bricks,
M/s.Zia Sons Fabrics (Thai Garments),
M/s.Package Ltd,
"M/s. Al-Madina Public School,",
M/s.City Department Store,
M/s.Breeze Frost International (Pvt) Ltd,
M/s.Bell Paper Food,
M/s.Bundu Khan Restaurant,
M/s.Care Industry/Knitwear,
M/s.Colour King (Pvt) Ltd,
Rehmat Pipe Factory,
R.M.W (Pvt) Ltd,
M/s.Cantt Public H/School,
Ranco International,
 Rex Enterprises,
M/s.Contex Industry,
Global Apparel (Pvt) ,
M/s.Continental Air Control,
Source International,
Steel Melt (Pvt) Ltd,
Sh. Enterprises,
M/s.Classic Marriage Hall  (Classic Fire Place),
Sehgal Enterprises,
M/s.Cavalry Motors,
 Sohail Textile,
Style Enterprises,
Scorpian Leather Garment,
Shoe International ,
M/s.Defence Service Station,
Sport Line (Pvt) Ltd,
M/s.Abdullah Hurt ,
Sport World (Pvt) Ltd,
S.T.L Associates,
M/s.Haji Rafique Auto,
 Shah Enterprises,
M/s.Feroze Din & Sons,
 Sadiq Electirc,
M/s.Farooq Furniture,
 Saati Traders,
Stylish Garments,
M/s.Fortress Auto Service,
Splender Export,
M/s.Gam (McDonald),
Stitch Care (Pvt) Ltd,
M/s.Gilby,
Toy vision (Pvt) Ltd,
Trimtex,
M/s.Gilato Ice Parlor,
Tradex,
M/s.Go Go Café Bar,
United Tex,
M/s.Ghazi Service Station ,
U & F Packages,
Usman Fabrics,
M/s.Golden Star Cable,
Unique Doubling,
M/s.Ladly Boutique,
Dynisty Textile,
M/s. Jamia Farooqia ,
M/s.H.Karim Bukhsh,
Whiz Tex (Pvt) Ltd,
M/s.Hina Collection ,
Wyne Textile,
Yasir Food Industry,
M/s.Style In Garments,
M/s.Immi Garments (Pvt) Ltd,
M/s.Imperial Construction Co (I.C.C),
M/s.Joy Land9-40-298,
M/s.Jaffar Brothers,
Modess Enterprises,
Cresent Dying & Textile,
Deens Plastic Industry,
One Star Shoes,
Auto Craft,
M/s.Idar-e-Kisan,
Multi Pak Printing Press,
M/s.DHA (LCCHS),
 Ahmad CNG Station,
Decent Pacakges,
M/s.Lahore Continental Hotel,
Supreme CNG Station,
M/s.Mei Kong Restaurant,
W.E Apparels,
M/s.M.Amin & Sons,
Ayan Textile,
M/s.Mohkam Din F/Station ,
Desial Shoes,
M/s.Modern Motors (Pvt) Ltd,
Amin Shoes,
M/s.M.M.Pakistan ,
Innovative Apparels,
M/s.Pak Modern Security,
M/s.Mehmood Sweet W/Shop,
M/s.M.Security Services,
A.I Industry,
M & A Furniture,
M/s.Nusrat Fabrics,
Enliven Solution ,
 Din Apparels,
"M/s.National Security Co.,",
 Baz Packages,
Shahzada Industries,
M/s.Nestle Pak,
M/s.Pearl Dry Cleaner,
Monnoo Yar Dying,
M/s.Zubi International (Pvt) Ltd (M/s.Pot Puri Dept. Store),
Rana Tex,
M/s.Pakistan Industry,
"Monnoo Industry,  ",
M/s.Pak Tool Industry,
M/s.Leo Protector Security,
M/s.Progressive Security,
M/s.P.Y.X Security,
M/s.Panther Sports,
Denim Master,
M/s.Pakistan Engg Service,
Hassan Packages,
M/s.WPP Marketing  Communication ,
Indigo Fashion,
Prime Pet Industry,
Ultima Technology,
M/s.Qureshi Packages,
M/s.Rahat Bakers & Dept. Store,
Worthstyle International,
Aim Hosiery,
M/s.Lucky Plastic  (Rehmat Plastic),
P.K Textile,
M/s.Real Builders,
Phonix Lab,
M/s.Intergrated Engg,
A.T.S,
M/s.Eden Restaurant,
M/s.Sun Shine Petroleum (Sun Shine F/Station),
M/s.Shezan Snak Bar,
Armoze (Pvt) Ltd,
M/s.Nawaz & Sons,
Azgard-09,
M/s.Shahab Sweet & Bakers,
Asad Dildar,
A.B Mouri,
M/s.A.T.V (S.T.N),
M/s.Sozo Water Park,
M/s.Shaheen Airport Services,
M/s.Spectrum Communication ,
M/s.Safari's House,
M/s.Squad International Security,
M/s.Seven Star Motel,
M/s.Shelter International  Security,
Al-Abbas Packages,
Basma Rice Mills,
Basic Rubbder,
Chawala Chemical,
Ch. Toufiq & Sons,
Chanan Din & Sons,
Delight House,
Data Rice Mills,
G.M International,
 Gulistan Flour Mills,
H.K.B Enterprises,
Haji Sadar Ali Akhtar Ali,
K.P.L Paper,
Karam Elahi F/Station,
Mesh Pak Processing,
Spell Petro Chemical,
Vega Lubritex,
Mushtaq Bricks,
Shan Bricks,
 Shahid Bricks,
Rana Bilal Bricks,
Abdullah Doubling,
Lala Sweets & Bakers,
M/s. Kids Camp,
M/s.Siqqarah Families,
M/s.Smar International,
M/s.Shahi Murg Cholay,
G.R Marble ,
M/s.Sprint Security Services,
Haris Oil Mills,
